# -----------------------------------------
# Poorman's SCE Pin Assignment by GoodKook
# Device: Cyclone IV EP4CE6 (TQFP 144-Pin)
# -----------------------------------------
# Quartus Prime Version 24.1std.0 Build 1077 03/04/2025 SC Standard Edition
# Generated on: Tue Apr 22 00:42:50 2025

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
Addr_emu[2],Input,PIN_111,7,B7_N0,PIN_111,3.3-V LVCMOS,,,,,
Addr_emu[1],Input,PIN_114,7,B7_N0,PIN_114,3.3-V LVCMOS,,,,,
Addr_emu[0],Input,PIN_115,7,B7_N0,PIN_115,3.3-V LVCMOS,,,,,
Din_emu[7],Input,PIN_120,7,B7_N0,PIN_120,3.3-V LVCMOS,,,,,
Din_emu[6],Input,PIN_124,7,B7_N0,PIN_124,3.3-V LVCMOS,,,,,
Din_emu[5],Input,PIN_126,7,B7_N0,PIN_126,3.3-V LVCMOS,,,,,
Din_emu[4],Input,PIN_128,8,B8_N0,PIN_128,3.3-V LVCMOS,,,,,
Din_emu[3],Input,PIN_121,7,B7_N0,PIN_121,3.3-V LVCMOS,,,,,
Din_emu[2],Input,PIN_125,7,B7_N0,PIN_125,3.3-V LVCMOS,,,,,
Din_emu[1],Input,PIN_127,7,B7_N0,PIN_127,3.3-V LVCMOS,,,,,
Din_emu[0],Input,PIN_129,8,B8_N0,PIN_129,3.3-V LVCMOS,,,,,
Dout_emu[7],Output,PIN_132,8,B8_N0,PIN_132,3.3-V LVCMOS,,,,,
Dout_emu[6],Output,PIN_135,8,B8_N0,PIN_135,3.3-V LVCMOS,,,,,
Dout_emu[5],Output,PIN_137,8,B8_N0,PIN_137,3.3-V LVCMOS,,,,,
Dout_emu[4],Output,PIN_141,8,B8_N0,PIN_141,3.3-V LVCMOS,,,,,
Dout_emu[3],Output,PIN_133,8,B8_N0,PIN_133,3.3-V LVCMOS,,,,,
Dout_emu[2],Output,PIN_136,8,B8_N0,PIN_136,3.3-V LVCMOS,,,,,
Dout_emu[1],Output,PIN_138,8,B8_N0,PIN_138,3.3-V LVCMOS,,,,,
Dout_emu[0],Output,PIN_142,8,B8_N0,PIN_142,3.3-V LVCMOS,,,,,
clk_dut,Input,PIN_24,2,B2_N0,PIN_24,3.3-V LVCMOS,,,,,
clk_emu,Input,PIN_23,1,B1_N0,PIN_23,3.3-V LVCMOS,,,,,
get_emu,Input,PIN_119,7,B7_N0,PIN_119,3.3-V LVCMOS,,,,,
load_emu,Input,PIN_113,7,B7_N0,PIN_113,3.3-V LVCMOS,,,,,
